Player_Name,Team_Initials,Matches_Played,Goals_Scored,Yellow_Cards,Red_Cards,Goals_Per_Match
Alexandru NEAGU,ROU,3,1,0,0,0.333
Alexey KORNEEV,URS,6,0,0,0,0.0
Alexi LALAS,USA,3,0,0,0,0.0
Alexis ALEXIOU,GRE,3,0,0,0,0.0
Alexis ALEXOUDIS,GRE,3,0,1,0,0.0
Alexis CHANTRAINE,BEL,2,0,0,0,0.0
Alexis MENDOZA,COL,7,0,0,0,0.0
Alf HALAND,NOR,3,0,2,0,0.0
Alf MARTINSEN,NOR,1,0,0,0,0.0
Alf RAMSEY,ENG,3,0,0,0,0.0
Alfons VAN BRANDT,BEL,2,0,0,0,0.0
Alfonse PEETERS,BEL,3,0,0,0,0.0
Alfonso DOMINGUEZ,URU,4,0,0,0,0.0
Alfonso LARA,CHI,3,0,0,0,0.0
Alfonso LORENZO,ARG,1,0,0,0,0.0
Alfonso MONTEMAYOR,MEX,3,0,0,0,0.0
Alfonso PEREIRA,URU,4,0,0,0,0.0
Alfonso PORTUGAL,MEX,3,0,0,0,0.0
Alfonso SILVA,ESP,6,0,0,0,0.0
Alfred ASTON,FRA,3,0,0,0,0.0
Alfred EISENBEISSER,ROU,2,0,0,0,0.0
Alfred HOERTNAGL,AUT,3,0,0,0,0.0
Alfred JAECK,SUI,2,0,0,0,0.0
Alfred KELBASSA,FRG,6,0,0,0,0.0
Alfred KOERNER,AUT,8,3,0,0,0.375
Alfred McMICHAEL,NIR,5,0,0,0,0.0
Alfred PFAFF,FRG,6,1,0,0,0.167
Alfred PHIRI,RSA,3,0,1,1,0.0
Alfred SCHMIDT,FRG,6,0,0,0,0.0
Alfred TEINITZER,AUT,5,0,0,0,0.0
Alfredo DE VINCENZI,ARG,1,0,0,0,0.0
Alfredo DEL AGUILA,MEX,3,1,0,0,0.333
Alfredo DI STEFANO,ESP,3,0,0,0,0.0
Alfredo FONI,ITA,4,0,0,0,0.0
Alfredo HERNANDEZ,MEX,6,0,0,0,0.0
Alfredo MENDOZA,PAR,4,0,1,0,0.0
Alfredo PEREZ,ARG,3,0,0,0,0.0
Alfredo QUESADA,PER,6,0,1,0,0.0
Alfredo ROJAS,ARG,7,0,0,0,0.0
Alfredo SANCHEZ,MEX,3,0,0,0,0.0
Alfredo TENA,MEX,3,0,0,0,0.0
Alfredo TORRES,MEX,2,0,0,0,0.0
Alfredo VASQUEZ,SLV,3,0,0,0,0.0
Ali BENCHEIKH,ALG,3,0,0,0,0.0
Ali BOUMNIJEL,TUN,3,0,0,0,0.0
Ali EL KHATTABI,MAR,3,0,0,0,0.0
Ali FERGANI,ALG,3,0,0,0,0.0
Ali KAABI,TUN,3,1,0,0,0.333
Ali Mohammed EL KAF,EGY,1,0,0,0,0.0
Ali PARWIN,IRN,3,0,0,0,0.0
Ali Reza GHESHGHAIAN,IRN,3,0,0,0,0.0
Ali SHOJAEI,IRN,3,0,0,0,0.0
Ali Thani JUMAA,UAE,3,1,0,0,0.333
Alim BEN MABROUK,ALG,3,0,0,0,0.0
Alioum BOUKAR,CMR,3,0,0,0,0.0
Alistair McCOIST,SCO,3,0,0,0,0.0
Aljosa ASANOVIC,CRO,7,0,2,0,0.0
Allal BEN KASSOU,MAR,3,0,0,0,0.0
Allan BOATH,NZL,3,0,0,0,0.0
Allan BROWN,SCO,2,0,0,0,0.0
Allan CLARKE,ENG,4,0,0,0,0.0
Allan COSTLY,HON,3,0,0,0,0.0
Allan EVANS,SCO,3,0,0,0,0.0
Allan MAHER,AUS,3,0,0,0,0.0
Allan NIELSEN,DEN,5,1,1,0,0.2
Allan SIMONSEN,DEN,4,0,0,0,0.0
Allenby CHILTON,ENG,3,0,0,0,0.0
Alloy AGU,NGA,4,0,0,0,0.0
Alphonse DE WINTER,BEL,1,0,0,0,0.0
Alphonse YOMBI,CMR,5,0,0,0,0.0
Alvaro GESTIDO,URU,4,0,0,0,0.0
Alvaro PENA,BOL,3,0,0,0,0.0
Alvin MARTIN,ENG,5,0,1,0,0.0
Amadeo CARRIZO,ARG,3,0,0,0,0.0
Amadeo ORTEGA,PAR,2,0,0,0,0.0
Amedeo AMADEI,ITA,2,0,0,0,0.0
Amedeo BIAVATI,ITA,4,0,0,0,0.0
Americo GALLEGO,ARG,12,0,2,1,0.0
Amleto FRIGNANI,ITA,3,1,0,0,0.333
